,Date,Year,Name,Amount,URL,Acquirer,Notes
281,October,2016,Decision Science Labs,Undisclosed,https://www.edsurge.com/news/2016-10-05-schoolzilla-acquires-decision-science-labs-to-help-districts-make-smarter-spending-choices,Schoolzilla,Procurement data; K-12; B to S
282,October,2016,Startup Weekend Education,Undisclosed,https://www.edsurge.com/news/2016-10-12-techstars-takes-over-startup-weekend-education,Techstars,Hackathons; K-12; B to C
283,October,2016,Chalkable,Undisclosed,https://www.edsurge.com/news/2016-10-18-powerschool-buys-chalkable-tops-200-million-in-acquisition-spending,Powerschool,Student information system; K-12; B to S
284,October,2016,Think Through Learning,Undisclosed,https://www.edsurge.com/news/2016-10-21-imagine-learning-acquires-online-math-program-think-through-learning,Imagine Learning,Math software; K-12; B to S
285,October,2016,Red Marbles,Undisclosed,https://www.edsurge.com/news/2016-10-14-jouvre-acquires-six-red-marbles-expands-to-corporate-learning,Jouve,Corporation training; Corporate; B to B
286,October,2016,Fronteer,Undisclosed,https://campustechnology.com/articles/2016/10/26/blackboard-acquires-accessibility-platform.aspx,Blackboard,Accessibility; Post-sec; B to S
287,November,2016,MyChild,Undisclosed,https://www.edsurge.com/news/2016-11-03-brightwheel-acquires-mychild-targets-early-education-with-mobile-app,Brightwheel,Early child education; Pre-K; B to C
288,November,2016,Astute Technology,Undisclosed,https://campustechnology.com/articles/2016/11/16/echo360-acquires-assessment-and-credentialing-platform.aspx,Echo360,Testing; Post-sec; B to C
289,November,2016,e3Learning,Undisclosed,http://www.lawyersweekly.com.au/deals/19993-corporate-e-learning-trainer-sold,City & Guilds Group,Corporate training; Corporate; B to B
290,November,2016,Quiklabs,Undisclosed,https://blog.google/topics/google-cloud/welcome-qwiklabs-google-cloud/,Google,Corporate training; Corporate; B to B
291,November,2016,LivingTree,Undisclosed,https://www.edsurge.com/news/2016-11-30-eagle-eye-networks-ceo-dean-drako-acquires-k-12-social-network-livingtree,Dean Drako,Social network; K-12; B to C
292,December,2016,SunGuard K-12,Undisclosed,http://www.prweb.com/releases/2016/12/prweb13896325.htm,PowerSchool,Learning management system; K-12; B to S
293,December,2016,Curriculet,Undisclosed,https://www.edsurge.com/news/2016-12-06-nonprofit-edtech-research-center-waterford-institute-acquires-curriculet,Waterford Institute,Digital reading platform; K-12; B to S
294,December,2016,Xolvr,Undisclosed,https://marketbrief.edweek.org/marketplace-k-12/25426/,Next Education,Tutoring; K-12; B to C
295,December,2016,The Foundry,Undisclosed,http://www.fredericksburg.com/business/local_business/reclaim-hosting-acquires-the-foundry/article_f8926d7e-57da-5919-a020-ce53384923e7.html,Reclaim Hosting,Co-working space; Corporate; B to B
296,December,2016,School Website,Undisclosed,https://marketbrief.edweek.org/marketplace-k-12/k-12-dealmaking-finalsite-acquires-school-website-osmo-masteryconnect-gain-funds/,Final Site,Content management system; K-12; B to S
297,December,2016,eSPED.com,Undisclosed,https://marketbrief.edweek.org/marketplace-k-12/k-12-dealmaking-frontline-education-acquires-esped-com-india-ed-tech-company-gets-15m/,Frontline Education,Special education; K-12; B to S
298,January,2015,Excelligence,undisclosed,http://www.heraldonline.com/2015/01/06/6674675_brentwood-associates-acquires.html?sp=/100/773/385/,Brentwood Associates,
299,January,2015,SchoolYard,undisclosed,http://www.prweb.com/releases/2015/01/prweb12430437.htm,inRESONANCE,
300,January,2015,MakerSquare,undisclosed,https://www.edsurge.com/n/2015-01-21-hack-reactor-acquires-makersquare-for-increased-coding-school-offerings,Hack Reactor,
301,January,2015,Code School,"$36,000,000",https://www.edsurge.com/n/2015-01-26-pluralsight-acquires-code-school-for-36-million,Pluralsight,
302,January,2015,Cognitive Kid,undisclosed,https://www.edsurge.com/n/2015-01-28-fingerprint-acquires-cognitive-kid-and-scribble-press,Fingerprint,
303,January,2015,Scribble Press,undisclosed,https://www.edsurge.com/n/2015-01-28-fingerprint-acquires-cognitive-kid-and-scribble-press,Fingerprint,
304,February,2015,Launchpad Toys,undisclosed,https://www.edsurge.com/n/2015-02-05-google-acquires-launchpad-toys-to-jumpstart-kid-friendly-services,Google,
305,February,2015,SchoolWires,undisclosed,https://www.edsurge.com/n/2015-02-04-blackboard-s-next-acquisition-schoolwires,Blackboard,
306,February,2015,Urban Planet Mobile,undisclosed,http://money.cnn.com/news/newsfeeds/articles/marketwire/1172360.htm,Sibling Group,
307,February,2015,Always Prepped,undisclosed,https://www.edsurge.com/n/2015-02-11-alma-acquires-always-prepped-to-simplify-school-data-management,Alma,
308,February,2015,Newsflo,undisclosed,http://techcrunch.com/2015/01/12/elsevier-acquires-newsflo/,Elsevier,
309,February,2015,GradesFirst,undisclosed,https://www.edsurge.com/n/2015-02-12-the-advisory-board-company-acquires-gradesfirst-for-engaging-at-risk-students,The Advisory Board Company,
310,February,2015,UClass,undisclosed,https://www.edsurge.com/n/2015-02-19-renaissance-learning-acquires-uclass-a-dropbox-for-education,Renaissance Learning,
311,February,2015,Starfish Retention Systems,undisclosed,https://www.insidehighered.com/news/2015/02/23/student-success-company-hobsons-acquires-starfish-retention-solutions,Hobsons,
312,March,2015,Classmate,undisclosed,https://www.edsurge.com/n/2015-03-02-harris-school-solutions-acquires-curriculum-management-tool-classmate,Harris School Solutions,
313,March,2015,100Marks,undisclosed,https://www.edsurge.com/n/2015-03-12-embibe-acquires-100marks-for-test-prep-in-india,Embibe,
314,March,2015,Overdrive,"$410,000,000",http://the-digital-reader.com/2015/03/19/rakuten-buys-overdrive-for-410-million-more-than-it-paid-for-kobo/,Rakuten,
315,March,2015,Online Marketing Institute,undisclosed,https://www.edsurge.com/n/2015-03-15-popexpert-acquires-online-marketing-institute-to-accelerate-corporate-training,Popexpert,
316,March,2015,Clio Online,undisclosed,http://www.bonnier.com/news-press/News/2015/March/Clio-Online-to-Bonnier-Business-Press/,Bonnier Business Press,
317,April,2015,Lynda.com,"$1,500,000,000",http://techcrunch.com/2015/04/09/linkedin-to-buy-online-education-site-lynda-com-for-1-5-billion/,LinkedIn,
318,April,2015,Boundless,undisclosed,http://www.bizjournals.com/boston/blog/startups/2015/04/online-textbook-publishing-startup-boundless-gets.html,Valore,
319,April,2015,SIPX,undisclosed,http://www.infodocket.com/2015/04/08/digital-course-materials-proquest-acquires-sipx/,Proquest,
320,April,2015,Collegefeed,undisclosed,http://www.prnewswire.com/news-releases/aftercollege-acquires-collegefeed-to-become-largest-career-hub-for-college-students-and-new-grads-300062297.html,After College,
321,April,2015,Software Craftsmanship Guild,undisclosed,http://www.bizjournals.com/louisville/news/2015/04/06/learning-house-expands-in-technology-arena-with.html,The Learning House,
322,April,2015,Classroom 24-7,undisclosed,https://www.pehub.com/2015/04/rizk-ventures-buys-classroom24-7/,Rizk Ventures,
323,April,2015,Pleolabs,undisclosed,http://yourstory.com/2015/04/xseed-education-acquires-pleolabs-ed-tech/,XSEED Education,
324,April,2015,Helix Education's LMS,undisclosed,http://www.ellucian.com/News/Ellucian-Draws-More-Than-8-800-Attendees-at-Ellucian-Live-2015-in-New-Orleans/,Ellucian,
325,April,2015,Remote Learner UK,undisclosed,http://www.bizjournals.com/washington/blog/techflash/2015/04/blackboard-acquires-uk-based-education-company.html,Blackboard,
326,April,2015,Unijobs,undisclosed,http://www.prnewswire.co.uk/news-releases/tes-global-acquires-unijobs-499530201.html,TES Global,
327,April,2015,Learning Express,undisclosed,https://www.ebsco.com/news-center/press-releases/learningexpress-becomes-part-of-ebsco-information-services,EBSCO,
328,April,2015,bab.la,undisclosed,http://www.infodocket.com/2015/04/20/oxford-university-press-acquires-online-language-portal-bab-la/,Oxford University Press,
329,April,2015,MyLibrary,undisclosed,http://lj.libraryjournal.com/2015/04/technology/ebooks/proquest-acquires-myilibrary-and-oasis/,Proquest,
330,April,2015,OASIS,undisclosed,http://lj.libraryjournal.com/2015/04/technology/ebooks/proquest-acquires-myilibrary-and-oasis/,Proquest,
331,April,2015,Scholastic Corp (its ed-tech business),"$575,000,000",http://blogs.edweek.org/edweek/marketplacek12/2015/04/houghton_mifflin_harcourt_to_acquire_scholastics_ed-tech_business_for_575m.html,Houghton Mifflin Harcourt,
332,May,2015,Gaokaopai,undisclosed,https://www.techinasia.com/chinese-education-startup-gaokaopai-acquired-tal-education-group/,TAL Education Group,
333,May,2015,Pearson's Family Entertainment Network,undisclosed,http://blogs.edweek.org/edweek/marketplacek12/2015/05/british_investor_buys_family_education_network_pearsons_edu-tainment_platform.html,Sandbox Partners,
334,May,2015,Acatar,undisclosed,https://www.insidehighered.com/news/2015/05/18/learning-house-acquires-carnegie-mellon-u-spinoff-acatar,The Learning House,
335,June,2015,Epigeum,"$16,600,000",http://www.educationinvestor.co.uk/,Oxford University Press,
336,June,2015,Affero Lab,undisclosed,https://www.edsurge.com/n/2015-06-08-bertelsmann-ifc-invest-in-brazilian-corporate-training-company,Bertelsmann,
337,June,2015,Affero Lab,undisclosed,https://www.edsurge.com/n/2015-06-08-bertelsmann-ifc-invest-in-brazilian-corporate-training-company,World Bank IFC,
338,June,2015,Hibernia College UK,undisclosed,http://edukwest.eu/edbrief-tes-global-hibernia-college-uk/,TES Global,
339,June,2015,SharpSchool,"$19,000,000",http://www.marketwatch.com/story/west-corporation-acquires-sharpschool-2015-06-02,West Corporation,
340,June,2015,Chatmapper,undisclosed,https://www.edsurge.com/n/2015-06-08-learnbrite-acquires-virtual-reality-software-chat-mapper,Learnbrite,
341,June,2015,ProctorCam,undisclosed,https://www.edsurge.com/n/2015-06-08-pearson-vue-acquires-proctorcam,Pearson VUE,
342,June,2015,PowerSchool,"$350,000,000",http://www.reuters.com/article/2015/06/17/idUSASN0008KL20150617,Vista Equity,
343,June,2015,UP Global and the Startup Weekend franchise,undisclosed,https://www.edsurge.com/n/2015-06-16-techstars-acquires-up-global-and-the-startup-weekend-franchise,Techstars,
